Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The group of 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.9032377999993,None,space,5.757536099999925,892.9032377999993,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The group of 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.7249921999992,None,space,6.256022999999914,898.7249921999992,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The group of 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.0294138999998,None,space,2.448132199999236,905.0294138999998,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The group of 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.5121945999999,None,space,5.724559800000861,907.5121945999999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The group of 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,960.8202060000003,None,,,,,,,915.2687403,None,,,,,,,,,,,,,,,,,,,,,962.8449017999992,None,,,,,,,,,,,,,,,y,33.46194149999974,925.3268762999996,None,958.8184765000005,None,925.3268762999996,None,925.3268762999996,None,925.3268762999996,None,925.3268762999996,None,925.3268762999996,None,925.3268762999996,None,925.3268762999996,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The group of 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,1,1,1,,,,,,,973.8481064000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.8673017000001,None,,,,,,,,,,,,,,,n,2.9784713000008196,968.8501966000003,None,971.8467079999991,None,968.8501966000003,None,968.8501966000003,None,968.8501966000003,None,968.8501966000003,None,968.8501966000003,None,968.8501966000003,None,968.8501966000003,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The group of 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,2,2,2,,,,,,,985.5744011000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.5902411999996,None,,,,,,,,,,,,,,,n,1.692370500000834,981.8647595999992,None,983.5728765999993,None,981.8647595999992,None,981.8647595999992,None,981.8647595999992,None,981.8647595999992,None,981.8647595999992,None,981.8647595999992,None,981.8647595999992,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The group of 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,3,3,3,,,,,,,998.1351188999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.1507829000002,None,,,,,,,,,,,,,,,n,2.513531699998566,993.6032159000006,None,996.1333448000005,None,993.6032159000006,None,993.6032159000006,None,993.6032159000006,None,993.6032159000006,None,993.6032159000006,None,993.6032159000006,None,993.6032159000006,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The group of 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,4,4,4,,,,,,,1010.4284527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.4474310999994,None,,,,,,,,,,,,,,,y,2.2401994000010745,1006.1644190000006,None,1008.4271573999995,None,1006.1644190000006,None,1006.1644190000006,None,1006.1644190000006,None,1006.1644190000006,None,1006.1644190000006,None,1006.1644190000006,None,1006.1644190000006,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the lion enclosure escaped.",11,35, tourists in the enclosure,Zookeepers in the enclosure: 3,040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,1016.4353045999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.4912912,None,space,15.609613999999056,1018.4912912,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers at on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the lion enclosure escaped.",4,50, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.1724739,None,space,1.0323606000001746,1034.1724739,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the group will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the lion enclosure escaped.",7,35, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.2714491000006,None,space,0.28534659999968426,1035.2714491000006,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the group will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the lion enclosure escaped.",8,65, tourists in the enclosure,Zookeepers in the enclosure: 5,040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.5943033000003,None,space,0.5224890999998024,1035.5943033000003,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the lion enclosure escaped.",3,65, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.148075699999,None,space,0.9607204000003549,1036.148075699999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the lion enclosure escaped.",11,35, tourists in the enclosure,Zookeepers in the enclosure: 3,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,1066.408441399999,None,,,,,,,1039.1358643999993,None,,,,,,,,,,,,,,,,,,,,,1068.4307697000004,None,,,,,,,,,,,,,,,n,15.203035900000032,1049.1856621000006,None,1064.4067589999995,None,1049.1856621000006,None,1049.1856621000006,None,1049.1856621000006,None,1049.1856621000006,None,1049.1856621000006,None,1049.1856621000006,None,1049.1856621000006,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers at on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the lion enclosure escaped.",4,50, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,1,1,1,,,,,,,1098.3851938999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.4039030000004,None,,,,,,,,,,,,,,,n,21.926042699999016,1074.4305786000004,None,1096.3832915000003,None,1074.4305786000004,None,1074.4305786000004,None,1074.4305786000004,None,1074.4305786000004,None,1074.4305786000004,None,1074.4305786000004,None,1074.4305786000004,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the group will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the lion enclosure escaped.",7,35, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,2,2,2,,,,,,,1123.1218939999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.1406296000005,None,,,,,,,,,,,,,,,n,14.691740899999786,1106.4007122999992,None,1121.1203368000006,None,1106.4007122999992,None,1106.4007122999992,None,1106.4007122999992,None,1106.4007122999992,None,1106.4007122999992,None,1106.4007122999992,None,1106.4007122999992,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the group will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the lion enclosure escaped.",8,65, tourists in the enclosure,Zookeepers in the enclosure: 5,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,3,3,3,,,,,,,1140.4530589000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.475593699999,None,,,,,,,,,,,,,,,y,7.27178719999938,1131.1489588999993,None,1138.4515334000007,None,1131.1489588999993,None,1131.1489588999993,None,1131.1489588999993,None,1131.1489588999993,None,1131.1489588999993,None,1131.1489588999993,None,1131.1489588999993,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the lion enclosure escaped.",3,65, tourists in the enclosure,Zookeepers in the enclosure: 2,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,4,4,4,,,,,,,1154.531538199999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.5500833999995,None,,,,,,,,,,,,,,,n,4.023521299999629,1148.4771683,None,1152.5301978000007,None,1148.4771683,None,1148.4771683,None,1148.4771683,None,1148.4771683,None,1148.4771683,None,1148.4771683,None,1148.4771683,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

 • There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,Pedestrians on the sidewalk: 9,045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,1160.5365996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.5851549,None,space,33.97975890000089,1162.5851549,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,Pedestrians on the sidewalk: 4,045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.6008631000004,None,space,0.5558200999985274,1196.6008631000004,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,Pedestrians on the sidewalk: 3,045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.2007517000002,None,space,1.603998499998852,1197.2007517000002,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,Pedestrians on the sidewalk: 4,045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.8442856000001,None,space,1.1763524999987567,1198.8442856000001,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,Pedestrians on the sidewalk: 3,045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0491201999994,None,space,0.8843964999996388,1200.0491201999994,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

 • There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,Pedestrians on the sidewalk: 9,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,0,0,0,,,,,,,1223.0047644999995,None,,,,,,,1202.9565359000007,None,,,,,,,,,,,,,,,,,,,,,1225.0241783000001,None,,,,,,,,,,,,,,,n,7.978575099999944,1213.0019515000004,None,1221.0034677999993,None,1213.0019515000004,None,1213.0019515000004,None,1213.0019515000004,None,1213.0019515000004,None,1213.0019515000004,None,1213.0019515000004,None,1213.0019515000004,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,Pedestrians on the sidewalk: 4,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,1,1,1,,,,,,,1235.8991712999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.9196307999991,None,,,,,,,,,,,,,,,y,2.847822300000189,1231.0296001999995,None,1233.8973609999994,None,1231.0296001999995,None,1231.0296001999995,None,1231.0296001999995,None,1231.0296001999995,None,1231.0296001999995,None,1231.0296001999995,None,1231.0296001999995,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,Pedestrians on the sidewalk: 3,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,2,2,2,,,,,,,1251.2272510999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.2450482999993,None,,,,,,,,,,,,,,,y,5.291978700000982,1243.9125774999993,None,1249.2256283999996,None,1243.9125774999993,None,1243.9125774999993,None,1243.9125774999993,None,1243.9125774999993,None,1243.9125774999993,None,1243.9125774999993,None,1243.9125774999993,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
